variable,tipo_dato,registros,valores_nulos,porcentaje_nulos,valores_unicos,porcentaje_unicos
tendencia_ingresos,string,10763,2990,27.78035863606801,3,0.0278732695345164
promedio_ingresos_datacredito,float64,10763,2930,27.222893245377684,5309,49.32639598624919
saldo_mora_codeudor,float64,10763,590,5.481743008454892,4,0.0371643593793552
saldo_principal,float64,10763,405,3.7628913871597143,8647,80.3400538883211
saldo_pendiente_estimado,float64,10763,405,3.7628913871597143,1658,15.404626962742729
saldo_mora,float64,10763,156,1.4494100157948526,55,0.511009941466134
saldo_total,float64,10763,156,1.4494100157948526,8858,82.30047384558209
edad_cliente,float64,10763,150,1.39366347672582,51,0.4738455820867788
puntaje,float64,10763,135,1.2542971290532379,202,1.8768001486574375
relacion_cuota_salario,float64,10763,24,0.2229861562761312,10447,97.06401560903095
relacion_deuda_salario,float64,10763,24,0.2229861562761312,9868,91.68447458886926
salario_cliente,float64,10763,24,0.2229861562761312,1384,12.8588683452569
puntaje_datacredito,float64,10763,7,0.06503762891387159,314,2.917402211279383
tipo_credito,string,10763,0,0.0,6,0.0557465390690328
huella_consulta,float64,10763,0,0.0,28,0.26015051565548636
cant_creditosvigentes,float64,10763,0,0.0,39,0.36235250394871316
total_otros_prestamos,float64,10763,0,0.0,1538,14.289696181362075
cuota_pactada,float64,10763,0,0.0,9836,91.38715971383444
fecha_prestamo,datetime64[us],10763,0,0.0,10444,97.03614233949642
capital_prestado,float64,10763,0,0.0,7306,67.88070240639227
plazo_meses,float64,10763,0,0.0,18,0.1672396172070984
tipo_laboral,string,10763,0,0.0,2,0.0185821796896776
creditos_sectorCooperativo,float64,10763,0,0.0,11,0.1022019882932268
creditos_sectorReal,float64,10763,0,0.0,24,0.2229861562761312
creditos_sectorFinanciero,float64,10763,0,0.0,33,0.3066059648796804
Pago_atiempo,Int64,10763,0,0.0,2,0.0185821796896776
dia_semana_prestamo,int64,10763,0,0.0,7,0.06503762891387159
mes_prestamo,int64,10763,0,0.0,12,0.1114930781380656
anio_prestamo,int64,10763,0,0.0,3,0.0278732695345164
hora_prestamo,int64,10763,0,0.0,14,0.13007525782774318
