variable,n_pago_0,media_pago_0,mediana_pago_0,n_pago_1,media_pago_1,mediana_pago_1,diferencia_media_pago_1_menos_pago_0
capital_prestado,511,2781774.1135029355,2268000.0,10252,2416996.2682403433,1908446.5,-364777.8452625922
plazo_meses,511,12.450097847358121,10.0,10252,10.482149824424502,10.0,-1.9679480229336193
edad_cliente,500,40.008,37.0,10113,42.9859586670622,42.0,2.9779586670621967
salario_cliente,510,23601329.88235294,3000000.0,10229,16938486.02629778,3000000.0,-6662843.856055159
total_otros_prestamos,511,11564401.925636008,900000.0,10252,5973424.175087788,1000000.0,-5590977.75054822
cuota_pactada,511,254755.69080234834,199002.0,10252,243062.2307842372,182576.0,-11693.460018111131
puntaje,376,35.32275556648937,38.8827385,10252,94.56335234520097,95.227787,59.2405967787116
puntaje_datacredito,510,748.8803921568627,768.0,10246,782.4560804216279,792.0,33.575688264765176
cant_creditosvigentes,511,5.569471624266145,5.0,10252,5.73458837300039,5.0,0.16511674873424553
huella_consulta,511,5.240704500978474,5.0,10252,4.1781115879828326,4.0,-1.0625929129956413
saldo_mora,500,82.368,0.0,10107,4.05441773028594,0.0,-78.31358226971406
saldo_total,500,39074.922,14518.5,10107,46276.89987137627,16308.0,7201.977871376272
saldo_principal,482,36646.427385892115,13110.0,9876,40526.73471040907,14492.5,3880.307324516958
saldo_mora_codeudor,471,0.0,0.0,9702,0.27262420119562975,0.0,0.27262420119562975
creditos_sectorFinanciero,511,2.516634050880626,2.0,10252,2.7931135388216934,2.0,0.27647948794106725
creditos_sectorCooperativo,511,0.20156555772994128,0.0,10252,0.27321498244245024,0.0,0.07164942471250896
creditos_sectorReal,511,1.4931506849315068,1.0,10252,1.2932110807647288,1.0,-0.19993960416677803
promedio_ingresos_datacredito,343,1605742.0495626822,1052529.0,7490,2023447.768224299,1211296.0,417705.7186616168
anio_prestamo,511,2024.8590998043053,2025.0,10252,2024.8950448692938,2025.0,0.035945064988482045
mes_prestamo,511,5.12720156555773,4.0,10252,5.281408505657433,4.0,0.15420694009970326
dia_semana_prestamo,511,3.426614481409002,4.0,10252,3.1226102223956302,3.0,-0.3040042590133716
hora_prestamo,511,13.362035225048924,13.0,10252,13.737222005462348,14.0,0.3751867804134239
relacion_cuota_salario,510,0.07928624684426626,0.0607211666666666,10229,0.09544141338436926,0.0608656,0.016155166540103003
relacion_deuda_salario,510,1.2753319680012514,1.0363314113133355,10229,1.6234825832014401,1.005252,0.34815061520018875
saldo_pendiente_estimado,482,3887.7240663900416,0.0,9876,6832.583535844471,0.0,2944.8594694544295
