variable_1,variable_2,correlacion,correlacion_absoluta
relacion_cuota_salario,relacion_deuda_salario,0.9792786032096356,0.9792786032096356
Pago_atiempo,puntaje,0.9256941104135926,0.9256941104135926
cant_creditosvigentes,creditos_sectorFinanciero,0.7912534017357024,0.7912534017357024
capital_prestado,cuota_pactada,0.7641042751087086,0.7641042751087086
saldo_pendiente_estimado,saldo_total,0.7509198613656065,0.7509198613656065
saldo_principal,saldo_total,0.7346641235785446,0.7346641235785446
anio_prestamo,mes_prestamo,-0.6714412184574126,0.6714412184574126
salario_cliente,total_otros_prestamos,0.5969876990864259,0.5969876990864259
cant_creditosvigentes,creditos_sectorReal,0.5406767041134566,0.5406767041134566
creditos_sectorFinanciero,saldo_principal,0.5373072253927451,0.5373072253927451
cant_creditosvigentes,saldo_principal,0.4859529798931864,0.4859529798931864
creditos_sectorFinanciero,saldo_total,0.45195723654630937,0.45195723654630937
cant_creditosvigentes,saldo_total,0.40210533995759407,0.40210533995759407
edad_cliente,puntaje_datacredito,0.38958069109698157,0.38958069109698157
cant_creditosvigentes,huella_consulta,0.31755382007382515,0.31755382007382515
capital_prestado,plazo_meses,0.29978138116243075,0.29978138116243075
promedio_ingresos_datacredito,saldo_principal,0.2877292785640935,0.2877292785640935
puntaje_datacredito,total_otros_prestamos,-0.28403670670640796,0.28403670670640796
creditos_sectorFinanciero,huella_consulta,0.2539362305231874,0.2539362305231874
cuota_pactada,plazo_meses,-0.22722050208135505,0.22722050208135505
creditos_sectorFinanciero,promedio_ingresos_datacredito,0.22457612553746978,0.22457612553746978
promedio_ingresos_datacredito,saldo_total,0.21422296147745462,0.21422296147745462
cuota_pactada,saldo_principal,0.20058735050439722,0.20058735050439722
cant_creditosvigentes,creditos_sectorCooperativo,0.1975938731766309,0.1975938731766309
puntaje_datacredito,saldo_mora,-0.192569302210911,0.192569302210911
puntaje_datacredito,salario_cliente,-0.19124072441670523,0.19124072441670523
edad_cliente,huella_consulta,-0.1770240870601582,0.1770240870601582
capital_prestado,saldo_principal,0.17644783047684348,0.17644783047684348
creditos_sectorReal,huella_consulta,0.17485003073627725,0.17485003073627725
huella_consulta,saldo_principal,0.17100560203762066,0.17100560203762066
cant_creditosvigentes,promedio_ingresos_datacredito,0.16099239263105344,0.16099239263105344
capital_prestado,puntaje_datacredito,-0.1515390098328786,0.1515390098328786
cuota_pactada,saldo_total,0.14852162569422067,0.14852162569422067
creditos_sectorFinanciero,puntaje_datacredito,0.14513394699123625,0.14513394699123625
promedio_ingresos_datacredito,puntaje_datacredito,0.1425889026759368,0.1425889026759368
huella_consulta,saldo_total,0.13994653459316345,0.13994653459316345
capital_prestado,saldo_total,0.13674919130451998,0.13674919130451998
creditos_sectorFinanciero,saldo_pendiente_estimado,0.13376160022755035,0.13376160022755035
cuota_pactada,puntaje_datacredito,-0.13273166344483325,0.13273166344483325
capital_prestado,promedio_ingresos_datacredito,0.11831166331288431,0.11831166331288431
creditos_sectorFinanciero,edad_cliente,0.11309372773784161,0.11309372773784161
