variable,registros_validos,media,mediana,desviacion_estandar,minimo,percentil_25,percentil_75,maximo,asimetria
capital_prestado,10763,2434314.997119762,1921920.0,1909642.7570242067,360000.0,1224831.0,3084840.0,41444153.0,3.723884075959874
plazo_meses,10763,10.575583015887764,10.0,6.632081641247295,2.0,6.0,12.0,90.0,2.459690979130265
edad_cliente,10613,42.84566098181475,42.0,11.947307010646961,19.0,33.0,52.0,69.0,0.26773880462633515
salario_cliente,10739,17254907.514945526,3000000.0,355872817.6828126,1000.0,2000000.0,4900000.0,22000000000.0,43.7278620435988
total_otros_prestamos,10763,6238869.6485180715,1000000.0,118418316.94106902,0.0,500000.0,2000000.0,6787675263.0,38.46388619150297
cuota_pactada,10763,243617.4066710025,182863.0,210493.6946076557,23944.0,121041.5,287833.5,3816752.0,3.793301066470034
puntaje,10628,92.46752393074898,95.227787,11.822764321819616,0.050943,95.227787,95.227787,95.227787,-5.343625256205086
puntaje_datacredito,10756,780.8640758646337,791.0,104.60742812737935,0.0,757.0,825.0,999.0,-5.651339964135976
cant_creditosvigentes,10763,5.726749047663291,5.0,3.977162189419666,0.0,3.0,8.0,62.0,1.7977378502721395
huella_consulta,10763,4.228560810183034,4.0,3.0646830409541175,0.0,2.0,6.0,29.0,1.487101835960047
saldo_mora,10607,7.746016781370793,0.0,225.95511732462006,0.0,0.0,0.0,12534.0,40.56848277693935
saldo_total,10607,45937.408126708775,16178.0,106269.78991608307,0.0,2898.0,52982.0,5116066.0,20.197674078218302
saldo_principal,10358,40346.16817918517,14442.5,71242.440332123,0.0,2690.0,47632.25,1562285.0,5.050171621461829
saldo_mora_codeudor,10173,0.2600019659884007,0.0,21.772916644618913,0.0,0.0,0.0,2145.0,94.97150369694442
creditos_sectorFinanciero,10763,2.779986992474217,2.0,2.7488067252473734,0.0,1.0,4.0,51.0,2.703071227846393
creditos_sectorCooperativo,10763,0.26981324909411875,0.0,0.7164708312410245,0.0,0.0,0.0,13.0,4.218667197548848
creditos_sectorReal,10763,1.3027037071448482,1.0,1.8244297941519845,0.0,0.0,2.0,25.0,3.1648659934286245
promedio_ingresos_datacredito,7833,2005156.8118217797,1204496.0,2144116.1503355014,0.0,925157.0,2231859.0,38106581.0,4.280150545772971
Pago_atiempo,10763,0.9525225308928738,1.0,0.21266772479069518,0.0,1.0,1.0,1.0,-4.256467553001185
anio_prestamo,10763,2024.8933382885812,2025.0,0.37748770399703524,2024.0,2025.0,2025.0,2026.0,-1.1130565996879582
mes_prestamo,10763,5.274087150422744,4.0,3.717483603681384,1.0,2.0,8.0,12.0,0.5975326705607118
dia_semana_prestamo,10763,3.137043575211372,3.0,1.929457979785891,0.0,1.0,5.0,6.0,-0.12413907111121052
hora_prestamo,10763,13.719409086685868,14.0,2.960286847558564,7.0,11.0,16.0,20.0,-0.1847142104549958
relacion_cuota_salario,10739,0.09467419716913018,0.0608635,1.2434452181484208,8.336717457963287e-06,0.03871283076923075,0.0953710952380952,125.802,96.8021694042552
relacion_deuda_salario,10739,1.6069487519553192,1.00652,32.161117524807246,0.0001318196585271,0.72088,1.3973466666666665,3279.0,98.96332786070015
saldo_pendiente_estimado,10358,6695.547209886078,0.0,73188.32187104409,0.0,0.0,0.0,4617429.0,47.20408190223813
