,capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado
capital_prestado,1.0,0.29978138116243075,-0.007881509413591108,0.04749183494746876,0.06518955929803227,0.7641042751087086,-0.02609640328645678,-0.1515390098328786,0.050692032913559316,0.027027864018134458,0.028084730485596267,0.13674919130451998,0.17644783047684348,-0.005356471287244466,0.10909163798588092,-0.016758228474287692,-0.07782800552890233,0.11831166331288431,-0.04062355334300056,0.06190435279459233,-0.006869684863061129,0.0002809051418304976,-0.011430327627351444,0.011132681545995728,0.0020363837539841226,0.02610718382842806
plazo_meses,0.29978138116243075,1.0,-0.08319020898575356,-0.012889789568776856,-0.013316809703885282,-0.22722050208135505,-0.03456604978881601,0.002207909348165892,-0.002910546069069332,0.04576694234317041,0.01988084978133154,-0.03367696274971872,-0.04868417922770359,-0.0012301077473991508,-0.002217285348402964,0.032823264379370214,-0.004901403454576219,0.022701337644990865,-0.0631052286722055,-0.0006395245243451274,0.025756388921258956,-0.02975720813444299,0.055446649838604374,-0.01738366992172901,-0.0008157284913491444,-0.0030047592434398647
edad_cliente,-0.007881509413591108,-0.08319020898575356,1.0,0.01456567233937965,0.0020486808289923966,0.03881811651313379,0.04842940572749837,0.38958069109698157,0.08543482373288702,-0.1770240870601582,-0.000791858342630175,0.05489715099986202,0.08360484500682284,0.018900463697004592,0.11309372773784161,0.0345809333997898,0.004911660116576493,0.029731248568266585,0.05281483711207651,0.007099471947084544,-0.040193015936671204,0.021574578439754407,-0.02555071629062341,0.0018360663717668973,0.002069222200361369,0.001074801624336502
salario_cliente,0.04749183494746876,-0.012889789568776856,0.01456567233937965,1.0,0.5969876990864259,0.05278785120970262,-0.00888923323913704,-0.19124072441670523,-0.040672088299203386,-0.04137529500527237,0.003962334281402052,0.004786392082424018,0.007192184269107457,-0.0001199872758696963,-0.024309553523623403,-0.013263651261338582,-0.026515783825120307,-0.00441890631144572,-0.003982198230928023,0.01014374812390814,-0.0067888668618276814,0.019014550745239438,0.001543339503037496,-0.0031421000420557396,-0.0016641681234137568,-0.0002716543946691511
total_otros_prestamos,0.06518955929803227,-0.013316809703885282,0.0020486808289923966,0.5969876990864259,1.0,0.059430136717670674,-0.013702578847739151,-0.28403670670640796,-0.05024910522031333,-0.05176572876392182,0.005807567571222661,0.08275370314278867,0.1102069588216646,-0.0012182986385170405,-0.0319491463234674,-0.014443697587813886,-0.027814825918475214,0.024089012311505623,-0.010040849661427277,0.011463492427495591,0.001589917017171317,0.01934459615831929,0.0046959548556424315,-0.003042240723269019,0.017644915911596438,0.013348160202483384
cuota_pactada,0.7641042751087086,-0.22722050208135505,0.03881811651313379,0.05278785120970262,0.059430136717670674,1.0,-0.010201244724229614,-0.13273166344483325,0.053577990233461555,0.0032200233682382977,0.004707000760337393,0.14852162569422067,0.20058735050439722,-0.006074864663329251,0.11309305659062735,-0.030780278005146874,-0.0741518941135507,0.09215601360606264,-0.011814232923308384,0.0750401566623463,0.017366954545093828,0.017980858307355154,-0.039094171820313044,0.0264543806863451,0.0013183524107535942,0.01982031593132643
puntaje,-0.02609640328645678,-0.03456604978881601,0.04842940572749837,-0.00888923323913704,-0.013702578847739151,-0.010201244724229614,1.0,0.052432013206711967,0.004276492789147702,-0.057605221853493156,-0.020893330512380612,0.01182009877877246,0.011037919454808911,0.0027645692733958447,0.018488337308962408,0.02551078046593111,-0.03128412276884027,0.03938630762522055,0.9256941104135926,0.03848776304052735,-0.0025592830049410245,-0.030745737005371223,0.014297464805966031,0.0018220920149803557,0.0015874130069854259,0.004914226687931844
puntaje_datacredito,-0.1515390098328786,0.002207909348165892,0.38958069109698157,-0.19124072441670523,-0.28403670670640796,-0.13273166344483325,0.052432013206711967,1.0,0.10428703208111798,0.01708857579089719,-0.192569302210911,0.07356895774820445,0.08282175705321594,0.0014592709262903258,0.14513394699123625,0.03323820947981116,-0.05446432702885215,0.1425889026759368,0.06821722659722387,-0.003637537184358501,-0.023258543264658527,-0.03161017863408516,0.01592435178757327,0.012328482048181929,0.010407513453841463,0.028932211723155982
cant_creditosvigentes,0.050692032913559316,-0.002910546069069332,0.08543482373288702,-0.040672088299203386,-0.05024910522031333,0.053577990233461555,0.004276492789147702,0.10428703208111798,1.0,0.31755382007382515,0.009220581647790702,0.40210533995759407,0.4859529798931864,-0.012677041128122478,0.7912534017357024,0.1975938731766309,0.5406767041134566,0.16099239263105344,0.008829160493270547,0.005836856359944384,-0.009470477451087088,0.01684378205419161,-0.018493222146241522,-0.00496735754741451,-0.0007636564252119471,0.11074009350199501
huella_consulta,0.027027864018134458,0.04576694234317041,-0.1770240870601582,-0.04137529500527237,-0.05176572876392182,0.0032200233682382977,-0.057605221853493156,0.01708857579089719,0.31755382007382515,1.0,-0.014460464073590586,0.13994653459316345,0.17100560203762066,-0.016527776162653295,0.2539362305231874,0.02480919984778422,0.17485003073627725,0.024367028978213436,-0.0737365705248107,0.010713584020594495,0.0012702470630146642,-0.0003634202183277133,0.002348031421305649,-0.004666670734491129,-0.0017779326346031405,0.031729402517082644
