variable,q1,q3,limite_inferior,limite_superior,posibles_outliers,porcentaje_outliers
creditos_sectorCooperativo,0.0,0.0,0.0,0.0,1895,17.606615255969526
saldo_pendiente_estimado,0.0,0.0,0.0,0.0,1700,16.41243483297934
anio_prestamo,2025.0,2025.0,2025.0,2025.0,1656,15.386044783053052
puntaje,95.227787,95.227787,95.227787,95.227787,1221,11.488520888219798
promedio_ingresos_datacredito,925157.0,2231859.0,-1034896.0,4191912.0,784,10.00893655049151
saldo_principal,2690.0,47632.25,-64723.375,115045.625,951,9.181309133037265
saldo_total,2898.0,52982.0,-72228.0,128108.0,970,9.144904308475535
plazo_meses,6.0,12.0,-3.0,21.0,869,8.073957075164916
cuota_pactada,121041.5,287833.5,-129146.5,538021.5,765,7.107683731301681
salario_cliente,2000000.0,4900000.0,-2350000.0,9250000.0,716,6.667287456932676
relacion_cuota_salario,0.03871283076923075,0.0953710952380952,-0.04627456593406591,0.18035849194139186,615,5.726790203929602
total_otros_prestamos,500000.0,2000000.0,-1750000.0,4250000.0,589,5.472451918610053
capital_prestado,1224831.0,3084840.0,-1565182.5,5874853.5,550,5.11009941466134
relacion_deuda_salario,0.72088,1.3973466666666665,-0.29381999999999997,2.4120466666666665,540,5.028401154669894
creditos_sectorFinanciero,1.0,4.0,-3.5,8.5,364,3.381956703521323
creditos_sectorReal,0.0,2.0,-3.0,5.0,350,3.2518814456935803
cant_creditosvigentes,3.0,8.0,-4.5,15.5,242,2.2484437424509895
huella_consulta,2.0,6.0,-4.0,12.0,216,2.0068754064851806
puntaje_datacredito,757.0,825.0,655.0,927.0,195,1.812941613982893
saldo_mora,0.0,0.0,0.0,0.0,55,0.5185255020269632
saldo_mora_codeudor,0.0,0.0,0.0,0.0,3,0.029489826010026542
edad_cliente,33.0,52.0,4.5,80.5,0,0.0
mes_prestamo,2.0,8.0,-7.0,17.0,0,0.0
dia_semana_prestamo,1.0,5.0,-5.0,11.0,0,0.0
hora_prestamo,11.0,16.0,3.5,23.5,0,0.0
