indice,caracteristica
1,capital_prestado
2,plazo_meses
3,edad_cliente
4,salario_cliente
5,total_otros_prestamos
6,cuota_pactada
7,puntaje_datacredito
8,cant_creditosvigentes
9,huella_consulta
10,saldo_mora
11,saldo_total
12,saldo_principal
13,saldo_mora_codeudor
14,creditos_sectorFinanciero
15,creditos_sectorCooperativo
16,creditos_sectorReal
17,promedio_ingresos_datacredito
18,anio_prestamo
19,mes_prestamo
20,dia_semana_prestamo
21,hora_prestamo
22,relacion_cuota_salario
23,relacion_deuda_salario
24,saldo_pendiente_estimado
25,dia_prestamo
26,semana_anio_prestamo
27,trimestre_prestamo
28,es_fin_semana
29,tipo_credito_10
30,tipo_credito_4
31,tipo_credito_6
32,tipo_credito_68
33,tipo_credito_7
34,tipo_credito_9
35,tipo_laboral_Empleado
36,tipo_laboral_Independiente
37,tendencia_ingresos_Creciente
38,tendencia_ingresos_Decreciente
39,tendencia_ingresos_Estable
