variable,cantidad_nulos,porcentaje_nulos
tendencia_ingresos,2990,27.78035863606801
promedio_ingresos_datacredito,2930,27.222893245377684
saldo_mora_codeudor,590,5.481743008454892
saldo_pendiente_estimado,405,3.7628913871597143
saldo_principal,405,3.7628913871597143
saldo_mora,156,1.4494100157948526
saldo_total,156,1.4494100157948526
edad_cliente,150,1.39366347672582
puntaje,135,1.2542971290532379
salario_cliente,24,0.2229861562761312
relacion_cuota_salario,24,0.2229861562761312
relacion_deuda_salario,24,0.2229861562761312
puntaje_datacredito,7,0.06503762891387159
tipo_credito,0,0.0
cuota_pactada,0,0.0
plazo_meses,0,0.0
total_otros_prestamos,0,0.0
creditos_sectorFinanciero,0,0.0
huella_consulta,0,0.0
cant_creditosvigentes,0,0.0
capital_prestado,0,0.0
tipo_laboral,0,0.0
Pago_atiempo,0,0.0
creditos_sectorReal,0,0.0
creditos_sectorCooperativo,0,0.0
dia_semana_prestamo,0,0.0
mes_prestamo,0,0.0
anio_prestamo,0,0.0
hora_prestamo,0,0.0
dia_prestamo,0,0.0
semana_anio_prestamo,0,0.0
trimestre_prestamo,0,0.0
es_fin_semana,0,0.0
