variable,tipo_variable,ks_statistic,ks_p_value,psi,jensen_shannon,chi2,chi2_p_value,drift_ks,drift_psi,drift_js,drift_chi2,drift_detectado,nivel_drift,registros_referencia,registros_actuales
tendencia_ingresos,Categorica,,,4.357663717543302,0.5256397881378005,3012.0435108049232,0.0,False,True,True,True,True,Alto,10763,101
promedio_ingresos_datacredito,Numerica,0.18318917299619653,0.002114808063779977,0.6109334255204218,0.13465664659903906,,,True,True,True,False,True,Alto,7833,101
cuota_pactada,Numerica,0.07800743839133528,0.5504820597444309,0.15423662148169065,0.12059815114573523,,,False,False,True,False,True,Moderado,10763,101
tipo_credito,Categorica,,,0.1165869404337752,0.11563207987548807,111.69478036559514,9.001441224314043e-22,False,False,True,True,True,Moderado,10763,101
saldo_principal,Numerica,0.10160033188103512,0.23669576484694332,0.11273717522545731,0.17815947814795088,,,False,False,True,False,True,Moderado,10358,101
saldo_total,Numerica,0.04935466677619016,0.9579301407621508,0.09930839621313794,0.1066593133372338,,,False,False,True,False,True,Detectado,10607,101
plazo_meses,Numerica,0.0905844463476358,0.3628827418780678,0.0914915567162334,0.14305175225515146,,,False,False,True,False,True,Detectado,10763,101
huella_consulta,Numerica,0.06884789566014116,0.7040135768856534,0.08840516118402544,0.17938299176415673,,,False,False,True,False,True,Detectado,10763,101
tipo_laboral,Categorica,,,0.07659483233898726,0.10160957377409213,109.78670210072907,1.4458410322539583e-24,False,False,True,True,True,Detectado,10763,101
edad_cliente,Numerica,0.10690606420483745,0.18907730990066418,0.07221399805834147,0.22073077997393034,,,False,False,True,False,True,Detectado,10613,101
puntaje_datacredito,Numerica,0.04491437429350975,0.982298516868319,0.07146558443996666,0.12420925811109153,,,False,False,True,False,True,Detectado,10756,101
creditos_sectorFinanciero,Numerica,0.045215410698367986,0.9810682838662516,0.06840741425116956,0.12196448804292657,,,False,False,True,False,True,Detectado,10763,101
cant_creditosvigentes,Numerica,0.04057906487480489,0.9943680514818255,0.05703650107395348,0.12013400080080003,,,False,False,True,False,True,Detectado,10763,101
creditos_sectorReal,Numerica,0.040633339558056925,0.9942732167490658,0.01919196533788889,0.1479854083824374,,,False,False,True,False,True,Detectado,10763,101
capital_prestado,Numerica,0.045305561867159505,0.9806886912265841,0.017574481353462682,0.10994464966783019,,,False,False,True,False,True,Detectado,10763,101
